model,group_label,linear,akima,poly2,poly3,time_past,v2_strict
simple_edge_interior,0,0.09865581251546601,0.10678995931962686,0.1759843387928548,0.49862903903683464,0.014777606168211228,0.1051632441670066
simple_edge_interior,1,0.1601416756406214,0.16014169139094367,0.21228168018771618,0.3123854801156138,0.00518899920512304,0.14986047345998194
private_safe_adaptive,0,0.18940882235101456,0.19119485763886152,0.18924683973038497,0.19432041651755216,0.04499141299054587,0.19083765077164092
private_safe_adaptive,1,0.18126484261525547,0.1958833576340033,0.18345954541862725,0.19615199336575925,0.05028060568503659,0.19295965528131817
private_safe_adaptive,2,0.07615800177339797,0.1538115754405035,1.9366561306022323e-17,0.6141080597335434,0.017641586031570067,0.13828077702098493
private_safe_adaptive,3,0.0,0.06015259641827283,0.39055282188252366,0.4882234314999354,0.012950062500204317,0.04812108769906389
private_safe_adaptive,4,0.0,0.0,0.35801935624109565,0.48409782643268146,0.15788281732622286,2.1200816651574974e-17
private_safe_adaptive,5,0.06252528453317108,0.06252527963909765,0.4006276499428158,0.13569488153756598,0.22594900735258053,0.11267789699476902
private_safe_adaptive,6,0.35926354503998714,0.35926360463351603,1.4804966080285165e-17,0.28036264477168826,0.0011102055548085743,5.8179017254798064e-18
private_safe_adaptive,7,0.1028483715942442,0.10284837488579471,0.34109631952980624,0.3029191229185261,0.030817695504869527,0.11947011556675918
